All,appliances,All 4000
221.856,221.856,162.8300917431
356.5832895624,293.369,261.7125061009
317.932,317.932,233.344587156
352.536,352.536,258.7420183486
386.666,386.666,283.791559633
1942.4986666667,198.332,1425.6870948012
341.836,341.836,250.8888073395
470.9569487475,377.049,345.656476145
398.723,398.723,292.640733945
460.762,460.762,338.1739449541
306.971,306.971,225.2998165138
1841.1346666667,96.968,1351.291498471
226.968,226.968,166.5820183486
213.656,213.656,156.8117431193
20.319,20.319,14.9130275229
20.319,20.319,14.9130275229
237.52,237.52,174.3266055046
70.319,70.319,51.6102752294
158.652,158.652,116.4418348624
335.319,335.319,246.1056880734
285.319,285.319,209.408440367
2007.8256666667,263.659,1473.6335168196
1847.8186666667,103.652,1356.1971865444
1847.8186666667,103.652,1356.1971865444
415.4439406213,56.986,304.9129839423
479.1523333333,130.319,351.6714373089
420.8193333333,71.986,308.8582262997
208.652,208.652,153.1390825688
231.982,231.982,170.2620183486
186.986,186.986,137.2374311927
130.319,130.319,95.6469724771
20.319,20.319,14.9130275229
20.319,20.319,14.9130275229
241.986,241.986,177.6044036697
241.986,241.986,177.6044036697
198.649,198.649,145.7974311927
283.649,283.649,208.1827522936
156.989,156.989,115.2212844037
20.319,20.319,14.9130275229
20.319,20.319,14.9130275229
276.479,276.479,202.9203669725
89.7447705706,71.986,65.8677215197
93.652,93.652,68.735412844
196.986,196.986,144.5768807339
183.649,183.649,134.7882568807
247.3416682028,150.319,181.5351693232
304.684,304.684,223.6212844037
436.397,436.397,320.2913761468
438.8834483783,430.319,322.1162923877
1957.8186666667,213.652,1436.9311314985
364.72,364.72,267.6844036697
263.222,263.222,193.1904587156
388.842,388.842,285.3886238532
391.952,391.952,287.6711926606
308.249,308.249,226.2377981651
146.579,146.579,107.5809174312
306.582,306.582,225.0143119266
156.982,156.982,115.216146789
266.628,266.628,195.6902752294
1935.0256666667,190.859,1420.202324159
272.2347672876,242.526,199.8053337891
135.859,135.859,99.7130275229
99.192,99.192,72.8014678899
184.193,184.193,135.1875229358
457.5660804005,414.196,335.8283158902
2054.4956666667,310.329,1507.8867278288
263.392,263.392,193.3152293578
190.059,190.059,139.4928440367
220.609,220.609,161.9148623853
365.429,365.429,268.2047706422
202.362,202.362,148.5225688073
203.077,203.077,149.0473394495
273.078,273.078,200.4242201835
1681.231,1681.231,1233.9310091743
1175.6391662797,1137.538,862.8544339668
2277.9688076719,475.871,1671.9037120528
1905.6061189994,130.871,1398.6099955959
173.652,173.652,127.4510091743
1786.989,1786.989,1311.551559633
1721.418,1721.418,1263.4260550459
789.389,789.389,579.3680733945
401.6264447487,369.239,294.7717025678
263.139,263.139,193.1295412844
437.589,437.589,321.1662385321
98.499,98.499,72.2928440367
86.986,86.986,63.8429357798
106.564,106.564,78.2121100917
429.129,429.129,314.9570642202
2079.3356666667,335.169,1526.1179204893
636.91,636.91,467.4568807339
349.1386330985,338.304,256.248538054
286.466,286.466,210.2502752294
166.322,166.322,122.0711926606
305.019,305.019,223.8671559633
431.496,431.496,316.6943119266
310.923,310.923,228.2003669725
1849.909,1849.909,1357.7313761468
2288.5356666667,544.369,1679.659204893
612.496,612.496,449.5383486239
562.069,562.069,412.527706422
458.602,458.602,336.5886238532
576.749,576.749,423.3020183486
438.546,438.546,321.8686238532
350.516,350.516,257.2594495413
325.249,325.249,238.7148623853
713.849,713.849,523.9258715596
719.6263389048,624.589,528.1661202971
2161.9026666667,417.736,1586.7175535168
2021.9026666667,277.736,1483.9652599388
93.902,93.902,68.9188990826
150.319,150.319,110.3258715596
313.649,313.649,230.2011009174
238.649,238.649,175.1552293578
189.184,189.184,138.8506422018
93.652,93.652,68.735412844
20.319,20.319,14.9130275229
210.319,210.319,154.3625688073
1778.8241100497,20.319,1305.558979853
1849.4856666667,105.319,1357.4206727829
1144.459704841,245.322,839.9704255713
612.4893333333,263.656,449.5334556575
446.0033333333,97.17,327.3418960245
243.652,243.652,178.8271559633
140.319,140.319,102.9864220183
290.322,290.322,213.0803669725
326.989,326.989,239.9919266055
253.649,253.649,186.1644036697
261.986,261.986,192.2833027523
56.986,56.986,41.824587156
163.652,163.652,120.111559633
53.652,53.652,39.3776146789
407.669,407.669,299.2066055046
208.652,208.652,153.1390825688
90.319,90.319,66.2891743119
196.986,196.986,144.5768807339
77.023,77.023,56.5306422018
291.0509677614,250.436,213.6153891827
205.433,205.433,150.7765137615
348.77,348.77,255.9779816514
248.656,248.656,182.4998165138
130.319,130.319,95.6469724771
86.986,86.986,63.8429357798
41.494,41.494,30.4543119266
156.982,156.982,115.216146789
404.307,404.307,296.7390825688
509.4218769001,475.469,373.8876160735
