Day-Ahead forecast [MW],Intraday forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp]
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0.32,0.18,0.3,0.04,2501.53
9.71,2.13,18.19,0.35,2501.53
26.43,26.4,27.15,4.8,2501.53
47.7,76.58,33.19,16.69,2501.53
62.56,100.27,43.3,38.46,2501.53
76.05,118.57,62.08,73.2,2501.53
87.2,137.69,82.2,121.02,2501.53
97.16,154.99,108.62,178.12,2501.53
102.79,172.66,191.69,247.75,2501.53
107.67,190.15,262.28,314.11,2501.53
111.56,207.76,275.6,365.61,2501.53
114.36,226.8,375.56,408.11,2501.53
122.2,226.06,366.92,425.52,2501.53
129.7,226.22,423.11,402.43,2501.53
137.25,226.5,413.1,368.17,2501.53
145.91,226.62,366.29,340.02,2501.53
158.24,223.46,355.75,299.11,2501.53
171.34,220.69,294.52,285.44,2501.53
188.82,217.98,287.71,288.67,2501.53
207.98,215.51,273.33,278.67,2501.53
192.88,216.36,275.46,280.54,2501.53
188.18,218.21,273.62,287.8,2501.53
188.98,210.04,287.92,294.02,2501.53
194.19,205.6,293.63,269.39,2501.53
165.98,187.64,254.51,229.88,2501.53
143.56,168.47,224.81,205.62,2501.53
113.74,147.48,188.11,171.03,2501.53
88.59,128.61,169.41,123.31,2501.53
68.49,99.45,116.01,74.87,2501.53
49.11,70.34,97.47,40.63,2501.53
20.35,40.33,61.53,17.82,2501.53
3.53,16.11,18.26,8.22,2501.53
1.24,2.36,3.18,2.81,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
